"","VIDEO_ID","SIZE","VIEWS.x","LENGTH","BITRATE.x","V4","V5.y","RATE","CLASS"
"68","0doRlwhanJ4",9674328,19146,236,40992.9152542373,"Sports",236,4.44,"1"
"69","0dp3f0tufEs",1208222,24322,30,40274.0666666667,"Howto & DIY",30,2.77,"3"
"70","0dV2NMHVwBY",16162950,4854,392,41232.0153061224,"Music",392,4.83,"1"
"71","0dVWE4IYpuc",9645177,3544,230,41935.552173913,"Comedy",230,4.16,"1"
"72","0dykGRGzzVA",12144720,104645,300,40482.4,"Film & Animation",300,4.82,"1"
"73","0E25rGphkgc",12618031,17603,364,34664.9203296703,"People & Blogs",364,2.82,"3"
"74","0EGwDEbTzoE",5508333,31961,132,41729.7954545455,"Entertainment",132,4.57,"1"
"75","0ekrC9zUg0I",2082589,32010,67,31083.4179104478,"Comedy",67,3.38,"2"
"76","0ekyL3_OBeU",11286909,759,272,41495.9889705882,"Film & Animation",272,5,"1"
"77","0eQQTFSbjM0",12054350,253615,288,41855.3819444444,"Entertainment",288,4.44,"1"
"78","_0eSW7sURdM",10731099,14316,247,43445.7449392713,"Sports",247,4.25,"1"
"79","0et-KNQiGWo",13297003,12131,321,41423.6853582555,"Music",321,4.56,"1"
"80","0eXHx7jsGt4",10030057,34630,242,41446.5165289256,"Music",242,4.85,"1"
"81","0Exmh9Zr-N4",12042021,1804,295,40820.4101694915,"Film & Animation",295,4.57,"1"
"82","0fbY0PijICg",6067565,2284,241,25176.6182572614,"People & Blogs",241,3.16,"2"
"83","0FlUAxqQkmc",13695004,6865,331,41374.6344410876,"Music",331,5,"1"
"84","0fumy3SoqVE",1805074,557,41,44026.1951219512,"Music",41,4.5,"1"
"85","0FXsK8r_wc8",3421945,99149,139,24618.309352518,"Comedy",139,4.87,"1"
"86","0G75kaEPEd4",6292777,55181,152,41399.8486842105,"Howto & DIY",152,4.88,"1"
"87","0GGGucRgpxo",8659351,57334,210,41235.0047619048,"News & Politics",210,4.42,"1"
"88","0glFsRU9t9I",9815740,13123,238,41242.6050420168,"Entertainment",238,4.75,"1"
"89","0GlfSvBEq9Y",12747978,60970,307,41524.3583061889,"Music",307,4.93,"1"
"90","0gmpQUE4xPo",5248818,15560,143,36705.020979021,"Entertainment",143,4.85,"1"
"91","0gScxNe4D1U",14951204,51980,379,39449.0870712401,"Entertainment",379,4.73,"1"
"92","0gVH-9B4L9k",6971813,5784,166,41998.8734939759,"People & Blogs",166,4.2,"1"
"93","_0H0pDSmNzI",2874798,481703,121,23758.6611570248,"Comedy",121,3.78,"2"
"94","0H7CJ2N3X4k",1127745,437,27,41768.3333333333,"Film & Animation",27,4,"1"
"95","0hc_B-COqhs",5720605,42,360,15890.5694444444,"Film & Animation",360,0,"5"
"96","0HCeex_VFTI",7910609,10193,195,40567.2256410256,"Comedy",195,4.68,"1"
"97","0hderubQMDw",676174,1710477,25,27046.96,"Comedy",25,3.68,"2"
"98","0HKwn2izG-Q",5591006,20499,161,34726.7453416149,"Music",161,3.17,"2"
"99","0HlD6gnCxQM",14128253,7004,341,41431.8269794721,"People & Blogs",341,4.54,"1"
"100","0h-RhyopUmc",7650853,472885,211,36259.9668246446,"Howto & DIY",211,4.87,"1"
"101","0i01_TQ1uKU",26413678,2621,641,41206.9859594384,"Sports",641,4.75,"1"
"102","0i06wBbRyys",4514946,1907,108,41805.0555555556,"Music",108,4,"1"
"103","0I0WfnhVs2s",1238933,1953577,30,41297.7666666667,"Comedy",30,4.61,"1"
"104","0IfoicuxiRA",10109078,8177,244,41430.6475409836,"Music",244,4.09,"1"
"105","_0iH_Cmy1Wc",13557093,1512,328,41332.6006097561,"Comedy",328,4.06,"1"
"106","0itlSi_4EeM",10910780,1402,261,41803.754789272,"Music",261,5,"1"
