"","USER_ID","VIDEO_ID","SIZE","VIEWS.x","LENGTH","BITRATE","UPLOADS","FRIENDS"
"5604","judsonlaipply","dMH0bHeiRNg",14558586,42513417,360,"-3.15713e+304",2,NA
"2112","ChrisInScotland","RB-wUgnyGv0",6516390,15712924,159,"327.885",4,NA
"10929","tasha","-_CSo1gOd48",8509160,13199833,205,"9094.33",55,NA
"8223","OkGo","pv5zWaTEVkI",7607876,11672017,184,"329.659",20,NA
"7581","mrWoot","D2kJZOfq7zk",7602786,11184051,185,"-1.35738e+112",20,NA
"8541","PeaceOnEarth123","vr3x_RRJdd4",7797965,10786529,219,"284.335",4,NA
"8010","Nikesoccer","lsO6D1rwrKc",6708511,10334975,164,"-1.#QNAN",46,NA
"7683","mYcheMicALroMaNcE","8bbTtPL1jRs",10993092,9579911,267,"328.726",33,NA
"10309","smosh","UMf40daefsI",8166742,7533070,200,"-8.43782e-150",54,NA
"431","alyankovic","-xEzGIuY7kw",7018157,6946033,171,"327.867",28,NA
"10814","swingcheese","HSoVKUVOnfQ",4121735,6193057,102,"-4.90984e-012",10,NA
"6624","Madyeti47","sdUUx5FdySs",7761032,5840839,189,"4.61652e-272",7,NA
"2938","DimensionFilms","h0zAlXr1UOs",5441031,5826923,130,"-1.#QNAN",15,NA
"6872","mattharding2718","bNF_P281Uu4",8692719,5231539,222,"-1.#QNAN",20,NA
"8049","NK5000","6B26asyGKDo",13133631,5147533,345,"303.645",1,NA
"3824","FrankCaliendoDotCom","kAMIlPudalQ",21836245,4750215,569,"6.46328e+167",11,NA
"10304","smosh","6D9p-wmtIJc",7627948,4292706,185,"5.29311e-029",54,NA
"6947","mcfit","gx-NLPH8JeM",3605024,4237062,88,"326.862",5,NA
"7513","mrderekjohnson","vD4OnHCRd_4",11037968,4230610,269,"-1.#QNAN",1,NA
"8326","orangeohm","8uwuLxrv8jY",5384682,4226517,131,"-1.#QNAN",3,NA
"9281","renetto","lFf-kW1E0Tc",3346419,4071966,80,"330.384",344,NA
"12576","XxChisizmyangelxX","synhob08_eA",8132013,3909544,196,"-5.34758e+303",10,NA
"9633","s41punkrock","NINJQ5LRh-0",7626971,3794886,184,"330.58",10,NA
"10201","sjfgjj","H20dhY01Xjk",10184653,3772116,359,"2.72611e-077",6,NA
"1624","Brt9003","FLn45-7Pn2Y",6169742,3604114,148,"333.357",38,NA
"4692","HollyW00d81","o4x-VW_rCSE",3388311,3534116,74,"362.265",3,NA
"1605","BrokerTim","Z4Y4keqTV6w",22377795,3335232,541,"330.375",1,NA
"1396","Blunty3000","O-tkqpHnxTI",8192763,3270046,196,"333.126",416,NA
"3927","FueledByRamen","eiiU-Fky18s",11018393,3269875,268,"328.565",333,NA
"1341","Blingchachink","PKnloiM-0Ns",8480898,3246969,205,"-1.#QNAN",5,NA
"1496","Boyslikegirlsmusic","bReVwemN5iE",9368023,3243467,230,"325.328",4,NA
"4065","GayHooD","xWGU3mpfRoM",9744407,3236894,233,"-1.#QNAN",20,NA
"6127","lassegg","JzqumbhfxRo",8026830,3230774,192,"332.825",23,NA
"4327","gravylookout","eAhfZUZiwSE",3464032,3114215,78,"353.37",1,NA
"1306","blamesocietyfilms","4wGR4-SeuJ0",11626905,3085087,286,"324.499",83,NA
"11200","TheHill88","CQO3K8BcyGM",2683744,3083875,65,"328.71",95,NA
"10305","smosh","P1OXAQHv09E",2464341,3068566,59,"-1.#QNAN",54,NA
"4914","impytherap","x49WZRyXGe0",2011706,2922110,52,"311.663",15,NA
"1855","CBS","YgW7or1TuFk",10984642,2899397,265,"331.796",9187,NA
"1485","botmib","nda_OSWeyn8",3088523,2817078,123,"-1.67319e-263",4,NA
"1318","Blendtec","B8H29jU8Wrs",2974793,2806422,73,"326.05",75,NA
"6194","leftlanenews","cv157ZIInUk",1252363,2773979,30,"-1.#QNAN",101,NA
"8898","Poster889","Zt5-wn3fvlw",8703302,2742497,210,"331.298",1,NA
"4366","gswanson17","Q5im0Ssyyus",8669556,2709425,225,"-1.#QNAN",12,NA
"7969","nicepaul","tScm-eZInBE",2706042,2675254,73,"295.051",4,NA
"6937","mcburger","BIeIWkK0t4s",14877867,2641924,360,"-2.03093e+059",107,NA
"2960","dirtyfratboy","yRmqZRPgK1w",11079032,2631575,268,"5.26869e-231",12,NA
"5955","konefku","z34JYwNGFtw",8887155,2626999,217,"6.70119e+279",3,NA
"11862","unconed","bcu8ZdJ2dQo",3009637,2617568,76,"313.008",7,NA
"12882","Zipster08","LH7vrLlDZ6U",13234352,2615359,347,"304.967",628,NA
"5814","Kewen","gg5_mlQOsUQ",7282993,2595278,313,"185.42",23,NA
"11066","Tetriscide","AJzU3NjDikY",12302625,2569611,302,"325.279",10,NA
"2983","Dissou","oMaTZFCLbq0",21043806,2554620,588,"-1.#QNAN",2,NA
"4043","gametrailers","GxSdKF5Fd38",14108861,2468395,341,"-1.#QNAN",0,NA
"9126","RandiandJen","co9qBme4Dgk",6605806,2427970,160,"328.375",4,NA
"4805","iamigor","PTU2He2BIc0",5614525,2421139,135,"331.171",1,NA
"9547","rpoland","Ddn4MGaS3N4",8224852,2417724,198,"332.285",156,NA
"10301","smosh","ut5fFyTkKv4",7508213,2401671,181,"-1.#QNAN",54,NA
"7211","Mikitama","z1lj87UyvfY",8827548,2373875,210,"-4.66186e+303",22,NA
"975","BaratsAndBereta","bhcA4Ry65FU",5269192,2364657,129,"-1.#QNAN",36,NA
"2910","digitalfilmmaker","JMvMzQ4Vu-8",8269531,2359461,204,"6.01348e-154",55,NA
"8741","picster","ElrldD02if0",13217085,2337238,318,"331.376",3,NA
"10235","skyracer90","xDh_pvv1tUM",6602321,2335060,166,"-5.34754e+303",5,NA
"3993","G4TV","eBXal1GAA4A",2472872,2324802,60,"-1.#QNAN",243,NA
"1877","CBS","NvQScRuZj9s",6274130,2318862,151,"331.692",9187,NA
"12702","YouTube","QCVxQ_3Ejkg",3974109,2318782,96,"328.438",33,NA
"1330","Blendtec","MC8Zvl-8ziA",2153956,2317777,58,"292.519",75,NA
"6940","McCaskill4Missouri","a9WB_PXjTBo",1348931,2310583,37,"287.123",19,NA
"11413","tim9294","g3dXfFZ6SH0",5510145,2295871,134,"-1.#QNAN",12,NA
"2354","cow","mUN2t6ahqX8",15907309,2284707,452,"-1.#QNAN",42,NA
"7122","MGMStudiosInc","DttxKIA_AxU",5920636,2271081,145,"324.694",26,NA
"11556","tpiper","iYhCn0jf46U",3097074,2253008,74,"330.888",5,NA
"12114","virtualmagician","nvbQQnvxXDk",2533020,2231992,62,"325.886",72,NA
"2504","d0r43m0n","HgtmETjMT7Y",10153700,2192326,265,"305.621",12,NA
"2146","chulitagurl247","p07GQhBdIPQ",11013840,2182136,264,"9.80207e-313",14,NA
"1947","champaR","LVCb52iQrfo",4576168,2178278,125,"-1.#QNAN",20,NA
"3810","fpfagundes","l3aLGXOg9Gg",12252948,2166101,341,"-8.74179e-289",70,NA
"6889","MauriceDevereaux","mCwKbUVyHLY",6821603,2163340,165,"330.408",9,NA
"9588","RunOn","vFP-MktgOKU",52597476,2151182,1468,"3.34597e+284",6,NA
"11805","udsbrian","qjWQNwv-GJ4",8999843,2132591,219,"-2.11102e+233",4,NA
"10165","simoncouillard1","BFP0q4qzGw4",8509754,2127028,225,"301.489",14,NA
"7734","nalobi","BgoOihBb78w",7042896,2115525,169,"332.337",7,NA
"2911","digitalfilmmaker","qdS5lkeN8_8",5755667,2091042,140,"6.01348e-154",55,NA
"7606","MuchMusicOfficial","qkq0w6ua_Sg",5512824,2085637,133,"329.678",187,NA
"5704","Kamikazeepanda","BZmE3fUKU5U",18181537,2077170,508,"-1.#QNAN",4,NA
"4596","hereforyou13","tvkh29RKFRY",NA,2035437,214,"331.849",38,NA
"1914","cgoldsmith","Ms6BtRYMtpw",7168967,2003889,235,"243.116",49,NA
"4741","houryuji","AgEmZ39EtFk",1399983,1999469,32,"-3.37527",82,NA
"6193","leftlanenews","0I0WfnhVs2s",1238933,1953577,30,"-1.#QNAN",101,NA
"6195","leftlanenews","xCIF6JF1O5U",1231693,1934276,30,"-1.#QNAN",101,NA
"2912","digitalfilmmaker","OEmss2lg-ug",4505784,1859974,110,"6.01348e-154",55,NA
"4718","hopelesslovex","-TSWaKWiAhY",3654149,1847109,146,"4.04643e-173",16,NA
"8330","Orbitbrown","JZCHpacxl4c",7782437,1821792,186,"334.574",43,NA
"2478","cutiemish","RR_Q3VAyg4I",1836773,1819119,46,"-2.87701e-201",32,NA
"3864","freedomworksfilms","59ZX5qdIEB0",8586979,1814798,205,"334.291",23,NA
"1716","Bye2Love","eVFF98kNg8Q",10360574,1813803,252,"328.309",13,NA
"2507","D4N3Train","2SVMFCZgvNM",3775372,1813794,96,"311.528",3,NA
"6325","LisaNova","uE-F1yMv8nY",9203192,1805044,230,"318.946",85,NA
"3061","dononeg","vvTU0rlhBVw",11894058,1792999,284,"333.837",28,NA
"1866","CBS","3SCJLlSf21Y",6499529,1779922,157,"331.224",9187,NA
"6216","lenac03","c1bwMOc0I7Y",1529565,1771140,36,"330.386",2,NA
"11635","TrueNuff","oc4oP_ITqMc",1401770,1713532,44,"248.219",66,NA
"12374","WinkyPWNs","0hderubQMDw",676174,1710477,25,"215.836",19,NA
"5136","JamBlockMedia","Ud_-AuBmp6Q",10435649,1683810,238,"349.204",54,NA
"10454","SouthbeatRecords","6jL7bYdA7WI",NA,1683787,247,"329.641",17,NA
"1302","blamesocietyfilms","ogIqayRDr4w",14731303,1683663,362,"325.397",83,NA
"1878","CBS","CuYD2cwMbpw",3648874,1649511,88,"331.204",9187,NA
"11887","unobb","QmroaYVD_so",1339548,1645984,32,"8.66496e+155",5,NA
"6791","markleung","gPutYwiiE0o",24887917,1633482,614,"323.773",24,NA
"966","bannedcommercials","JahdnOQ9XCA",2881655,1613864,69,"329.284",13,NA
"12457","wwwBLACK20com","EFKaLfs68Sk",1513287,1613197,45,"265.865",351,NA
"12861","ZILLA2010","QgmCBKPHnSY",6068275,1586111,167,"289.886",5,NA
"8718","phoneexperiment","OkXH7hBbDI0",2742867,1584785,72,"301.194",18,NA
"6322","LisaNova","JgMZpHF64K8",2721898,1583141,65,"1.66489e-158",85,NA
"3995","G4TV","bhTeYaqIe3E",1259123,1562286,29,"6.01347e-154",243,NA
"12423","worldsfair","vo7Sng5Jeb0",7487059,1561410,183,"326.897",65,NA
"1645","bubbataylor","n8TbH7riJIo",23926240,1548404,580,"329.919",13,NA
"12540","XionProductions","c2fnvYH-fUU",23798742,1546402,584,"325.388",38,NA
"6126","lassegg","o9698TqtY4A",5284864,1544378,126,"6.01347e-154",23,NA
"12853","ZEZEtheX","9FcBnaLjxY4",10400536,1514231,248,"334.976",26,NA
"12138","vlogkarate","C0f2dHJ6A18",5216329,1510728,124,"335.982",38,NA
"502","anandx","M0ODskdEPnQ",15452309,1503351,409,"-1.#QNAN",6,NA
"7729","nakedrabbit","DbK1eCt97ag",8271622,1489168,208,"6.01348e-154",18,NA
"5910","kiyomasa","oVwbUljGs3g",13648820,1458620,335,"-1.#QNAN",4,NA
"12550","xloserkidx","60og9gwKh1o",2474538,1452178,98,"201.562",23,NA
"11768","TzarElWrinkly","MAglt4KPIH4",6731557,1447415,162,"330.565",15,NA
"9","06solareclipse","qIXs6Sh0DKs",2096581,1443246,64,"259.587",138,NA
"617","Antho05","Re1XEmjNG6c",8764057,1433145,216,"323.454",26,NA
"1005","bastardfairies","k8x14cLGh5o",5419477,1431638,145,"298.297",27,NA
"3436","EntertainmentNews","QGQMyN75LFQ",14751862,1430437,360,"5.0612e+158",14,NA
"9733","sarahliz614","l9l19D2sIHI",2217742,1422837,54,"327.847",4,NA
"8720","phonescoop","zb_cGG1S_UE",15618335,1420787,377,"1.58702e-260",183,NA
"7842","nekromanser","6GNB7xT3rNE",1089714,1412497,28,"6.41959e+036",65,NA
"2246","CocaColaSuperbowl","7wt5FiZQrgM",2585128,1399531,62,"330.942",5,NA
"9388","RinpaEshidan","jtzdxseO-gs",14350183,1381367,349,"328.538",12,NA
"11602","trevz0r","89sz8ExZndc",8718281,1380823,210,"8.88587e-314",4,NA
"1067","beautyjeonjihyun","RSHziqJWYcM",15030958,1379681,359,"-1.#QNAN",6,NA
"9571","RUBBERGASH","gGEFrL0-G1E",1628774,1372710,38,"336.263",18,NA
"2380","crashthesuperbowl07","kNxgxF-7SfA",1226399,1364197,30,"323.247",2,NA
"7670","mwesch","6gmP4nk0EOE",11318856,1353059,271,"332.973",9,NA
"536","andylimpy","RYQUsp-jxDQ",7424485,1344946,209,"-1.#QNAN",6,NA
"2196","clipbandits","oUKaeDwKP2A",11051512,1343132,271,"325.609",19,NA
"7808","natharuk","vjvVBCNcL_A",6493477,1341720,161,"-1.#QNAN",1,NA
"5418","John4210","k7zzbB17Fvo",9872140,1341032,238,"330.835",27,NA
"5590","jthomas2308","E6Zc9NyYH-k",6830644,1339946,168,"324.328",1,NA
"4382","guitar122334","r2BOApUvFpw",8023340,1334729,196,"326.379",2,NA
"8688","Phenixxx","vqO7zEWu0W0",8815004,1334429,210,"2.13509e-260",14,NA
"9112","rambofight","XkHm8uUuT0o",6780365,1325446,171,"-2.52706e+284",2,NA
"1862","CBS","Vz8AuKmItwM",3667311,1321534,87,"337.29",9187,NA
"6749","marcoseiji","z8kJ6Ts4rG4",4559249,1321350,124,"291.975",70,NA
"5657","JVCFelix","lv4Potdpjhw",14777207,1319992,516,"228.966",74,NA
"9181","RCARecords","lbcltLf2VHo",11497247,1315392,280,"328.146",27,NA
"2467","culturekiller","EkTpUxh8Vxc",4606823,1307993,114,"322.979",16,NA
"514","andhrabullodu","Ll8Qm8yDj-8",9061182,1297005,217,"332.315",85,NA
"10117","Shryan9","JPONTneuaF4",8509755,1294985,225,"301.489",5,NA
"11968","Vayabobo","u1kqqMXWEFs",3251656,1284712,78,"5.38965e-299",14,NA
"4591","hendy1978","VmZqH2cFRgw",5451148,1282238,131,"330.249",5,NA
"2830","DertyHoes","XnJAozfBq7w",5614747,1269841,225,"198.876",22,NA
"262","aggiejy","46LQd9dXFRU",8840596,1262173,220,"320.751",3,NA
"11086","thatjustinguy","Y9-ctuBFAUg",4565262,1260781,112,"326.055",45,NA
"1337","Blendtec","3OmpnfL5PCw",2087567,1251960,56,"298.156",75,NA
"3125","dramboxf","ozDh4NQveJs",8555947,1251724,208,"-4.17085e+241",6,NA
"2111","chrishydra","KtdYsd_QRmc",7586600,1244291,185,"-2.2841e-286",2,NA
"11038","terranaomi","ARHyRI9_NB4",10324734,1237802,250,"5.37795e-299",76,NA
"11486","tokenblackchic","PL4Uzun4CKA",6015153,1235410,143,"334.659",31,NA
"5601","JudicialWatch","L75Gga92WO8",2853523,1224860,191,"5.6043e-299",42,NA
"5007","IophenrySS","P1n1BWLsyHg",9596413,1207584,228,"335.858",12,NA
"4310","Graankooglee","slnXv1j66Nk",3081683,1203551,74,"-2.78482e-214",2,NA
"2461","cubertlee","LbvP7dT3Dx0",9122357,1202985,217,"334.733",1,NA
"1693","Burk022","sEEEhO8f_YI",2712176,1197301,66,"326.646",5,NA
"7131","miaarose","S1Sf15a2Znk",7888071,1194706,217,"290.802",31,NA
"2546","DAN5555","yUjFRKWk6gQ",9656026,1192756,235,"327.969",9,NA
"2742","DCHerbs","p9vujyArcG4",8427028,1187604,205,"326.928",16,NA
"1861","CBS","I3l-gRHjUNk",3556762,1184938,87,"327.166",9187,NA
"11943","uzi9mm","Hfmx4sZNhXU",11376851,1183046,295,"-1.#QNAN",36,NA
"6402","lonelygirl15","dZN-Wye4rDE",4650478,1180671,112,"329.905",382,NA
"8280","onipaa","KCep9zmBQYM",4303941,1179724,104,"327.944",18,NA
"9577","rubita9","tFvedbMGbJo",8668565,1178696,209,"-1.#QNAN",17,NA
"12043","VideoSwamee","9eDJ3cuXKV4",12435254,1166437,299,"-1.#QNAN",1,NA
"4742","houseofboyd","rmgf60CI_ks",7531322,1164731,182,"8.49058e-037",6,NA
"11806","ufc","u2pW7PSyZhw",6250314,1160798,150,"332.486",56,NA
"11859","uncledale","BPb0po2jzfg",4635984,1159814,112,"-5.34687e+303",5,NA
"6293","linguica","brh6KRvQHBc",2124462,1159059,60,"-1.#QNAN",28,NA
"1495","boymongoose","owK5tHjL0aE",9919713,1156452,239,"331.139",1,NA
"3258","ealf","6uvQTTPr9Rw",402241,1155651,10,"2.95894e-213",4,NA
"11223","TheMessengersMovie","7z_ml03VItA",2439352,1154079,62,"310.803",5,NA
"10351","SnickersSuperBowl","JHkoZ7ngAM0",1264138,1152820,31,"316.53",1,NA
"4651","Hirnduebel","GUKRzyDMyfA",758455,1148884,17,"340.53",81,NA
"9721","sans1959socol","3UwJabtvSUQ",1285905,1143646,50,"202.238",6,NA
"10451","soupcameron","i0rw635Ltlw",15601771,1142765,377,"-1.#QNAN",20,NA
"4031","gamedaily","3zQSWOTS3Gw",8426514,1141202,202,"1.64095e+122",176,NA
"6318","LisaNova","ES6kSKGv7dA",3946521,1139964,96,"327.81",85,NA
"1417","bob1991","fyMasVRj4KI",4892761,1125626,117,"-1.#QNAN",4,NA
"1051","bdown","Aus7I7MhaOM",10014880,1124082,238,"-1.#QNAN",4,NA
"4767","HumanCrouton","LeBO8y5nRYU",3318228,1117320,104,"253.704",1,NA
"3925","FueledByRamen","2TnlSVKuy34",10407289,1110670,252,"329.45",333,NA
"1761","CambrianHouse","RkdihGX7iWM",3150515,1105090,73,"344.964",77,NA
"11143","TheCure416","AkkOUPYNs7I",1704899,1101928,40,"3.23888e-077",1,NA
"10839","Syncsta","wvv1eC4TaIM",3881570,1095928,108,"-1.#QNAN",20,NA
"3924","FueledByRamen","8AZxUtZ2ZgI",8056520,1085766,196,"327.448",333,NA
"9823","ScottieTails","LHyJH1yGKZY",3426388,1085020,81,"334.403",8,NA
"1452","Boksis","oftOCN1jkNo",9880054,1075663,236,"333.639",3,NA
"915","b612re","RKILQPBcVTI",10796133,1066264,261,"330.471",3,NA
"4629","hidekatsu","O61Do03ZCjw",2479612,1065430,62,"-1.#QNAN",8,NA
"356","albbu","NZNTgglPbUA",11718947,1059145,282,"331.023",6,NA
"4151","gicalee","izYIO9VtjUs",7771193,1057185,216,"287.416",4,NA
"8894","porunavezenlavida","U7FxB3ELsS4",6025151,1056902,164,"291.5",11,NA
"12336","Wii","p5cPVP_llfo",4793129,1050620,121,"316.405",9,NA
"6719","maniacmike","8NE5elL30w4",12418875,1048582,309,"-1.#QNAN",25,NA
"9929","sergiofromleave","uhYbrORmJ5I",2453731,1041050,66,"297.124",1,NA
"1548","breitbart","bfZ_gXCHaMw",2769822,1039066,68,"322.245",13,NA
"11510","TomWilsonUSA","iwY5o2fsG7Y",4659054,1026313,112,"331.86",4,NA
"8132","novacrasher","RbdbVhBGETQ",8510203,1024460,206,"329.777",6,NA
"2942","DimensionFilms","PrMybXvA-qw",5482555,1010378,149,"292.727",15,NA
"8943","princessdayne","jcOOOebe7fs",8396467,1005487,204,"328.193",5,NA
"9405","rj0995","WYNI5RPOlp4",15029585,1003997,601,"199.96",1,NA
"12003","VenetianPrincess","_2i4zPKdojs",16108254,993455,486,"264.414",58,NA
"12447","wsbballa","hhGO5f8gdWQ",10415560,988935,258,"322.868",8,NA
"3433","entereidolon","AyvrqcxNIFs",17017216,973034,413,"328.915",7,NA
"12326","wichitarecordings","51V1VMkuyx0",11396852,969746,276,"330.041",49,NA
"7495","moviemker","2T5_0AGdFic",2687758,968392,65,"325.161",5,NA
"6355","Livemorningshow","rP3qL4UG1TI",5702959,962383,135,"337.107",163,NA
"4620","heywhatsthis","yeXoxNP8_xY",48221293,954705,1351,"-4.5997e-042",1,NA
"12533","xgobobeanx","wTNlWRbRtS0",16726992,951650,404,"330.487",105,NA
"11710","TwistedTechTV","yln46g71x8s",12670012,948506,308,"328.237",5,NA
"8763","pimplywimp","p2IoNygc-K0",8544162,947036,207,"328.943",60,NA
"5328","jgrandin1","Qehxjub5lyo",7286372,944984,177,"328.591",63,NA
"4325","granzeus","P842Tmi6lrc",22804762,936863,637,"-4.90445e-103",2,NA
"6893","mauzip","pgX-hiQdfFw",6440293,936573,179,"286.373",12,NA
"10898","takkika","N_oKaCL-OA8",9416918,929113,228,"2.05814e-196",1,NA
"10307","smosh","oCd_i7wW87Q",5418984,928211,134,"321.381",54,NA
"2835","DesignMami","rGrqW3nx5HM",9221512,926166,218,"337.373",40,NA
"11686","tv12673","_qfIdQrstwk",8165851,925698,195,"334.154",14,NA
"4205","gnoix","sBQLq2VmZcA",6398214,924952,154,"16592.2",2,NA
"10260","slvgdvg","OIKkUTn1Wuc",5434132,924269,158,"-1.#QNAN",14,NA
"5402","jobbejoe","eWEjvCRPrCo",7684827,918395,196,"4.01199e-198",9,NA
"9072","Rabix99","1KAJWx-WWy0",18215901,918109,448,"324.796",3,NA
"9454","rockalypse","TdItwaLrv1U",7902900,916189,193,"-1.#QNAN",1,NA
"11672","TurboTax","eMudXTz4NuQ",2574228,915406,64,"321.662",29,NA
"6615","Madinker","G0smntbxyJ8",22753979,915376,554,"328.106",10,NA
"1694","burnellyow","TZ860P4iTaM",6635827,913436,168,"315.831",7,NA
"9348","ricardo873","4s2TfNlJ_nQ",7848013,908835,187,"6.01348e-154",12,NA
"8344","orijimi","4N3N1MlvVc4",6723811,900490,199,"-3.89896e-016",7,NA
"3073","DoorFrame","CvVp7b5gzqU",2524105,898608,58,"3.26587e-077",2,NA
"1662","BudSuperBowlXLI","wV0B3maUK0E",1285058,896454,30,"333.938",8,NA
"9480","rockwoodcomic","OPmYbP0F4Zw",7510412,892595,183,"328.087",2,NA
"9069","raaachey","6OMCwwTjvuM",3019275,892574,69,"346.976",5,NA
"12720","yth4lif","up1DoY8Cfwg",2369931,889659,57,"8.84332e+119",38,NA
"4740","hotsaucelakers","9SoC1T0nx7Y",13385877,878923,325,"-1.85581e+151",2,NA
"6400","lonelygirl15","6OUcp6UJ2bA",7130355,876232,173,"328.475",382,NA
"9175","raze7ds","HPPj6viIBmU",4436647,870512,108,"-7.57831e-286",4,NA
"6431","lordi789","PqQhPcCzV60",7696255,868355,187,"2.90436e-144",4,NA
"12370","windwalker0303","xo7Cp3GsyxQ",4091057,866326,97,"1.2847e-314",1,NA
"1856","CBS","irOFAjsnSg0",2980151,863643,73,"327.541",9187,NA
"264","agingrocker120","0WdmIdgBj6A",2030608,859656,43,"-1.#QNAN",14,NA
"4421","gzaiden","OATq8YrIz-c",4418723,857976,177,"198.842",8,NA
"9427","roberts06","aCamHfJwSGU",5815101,847442,324,"143.324",9,NA
"10220","sking28","7h3GPc_yMCE",3566071,846046,93,"306.854",1,NA
"8332","Orbitzal","PW1Y3Ch7Q8Y",1394889,845406,33,"327.988",13,NA
"10910","talupula","AlPqL7IUT6M",3091150,845180,89,"1.66872e-231",3,NA
"10302","smosh","lJsjJVPeEOo",10968643,844060,264,"331.989",54,NA
"976","BaratsAndBereta","wOTBWlt0-Y0",5131258,843577,123,"331.878",36,NA
"4769","humpingdog4649","rI-pct3zy18",3069004,843407,74,"327.66",2,NA
"5399","jmk81","UlkzgI_jNUg",7572411,841492,183,"330.934",7,NA
"6404","lonelygirl15","-goXKtd6cPo",3976023,840713,95,"-6.51209e-165",382,NA
"9512","romph","aeXAcwriid0",3253413,838627,175,"-1.#QNAN",15,NA
"177","aconover","nKq6_vjrxMo",6612503,836748,160,"328.718",38,NA
"11767","tyson109","bvZ2roRDPYU",12629281,835156,308,"-5.3483e+303",6,NA
"5600","JudicialWatch","TAaP4Z3zls8",3486581,834585,202,"-2.95274e-306",42,NA
"1661","BudSuperBowlXLI","aADTT_zgvec",1289132,830323,30,"332.738",8,NA
"5863","kimmieb12","dVUgd8ot6BE",10499873,828517,253,"-1.#QNAN",1,NA
"6787","markharper87","6HgHhHNC92M",10065440,825859,244,"329.753",6,NA
"3866","freedomworksfilms","crfrKqFp0Zg",5424747,824902,129,"335.644",23,NA
"10308","smosh","sCNj0WMBkrs",32268278,822063,450,"5.23441e-231",54,NA
"1780","Capix","YNgl6z5Z7k4",2570901,820557,60,"8.8981e-199",51,NA
"106","86zidane","dYUtKKbBTkw",19672493,818482,548,"-1.#QNAN",13,NA
"7866","Neoboffin","GGe_4QUeMNc",7058626,817692,196,"286.683",4,NA
"7977","nickxjones","N1-25s4uwFQ",10100088,817188,246,"-6.9532e+197",5,NA
"10667","subpoprecords","7agPOt1XZz8",9132067,816571,236,"308.651",131,NA
"6523","luke4leanne","YxQrPXPSVhQ",11250313,814863,272,"5.40435e-299",10,NA
"12332","Wid3Awak3","a7j93Bf-EyI",9904482,812258,240,"329.137",11,NA
"11307","TheTyraBanksShow","HPatjN5p90c",2886580,810868,69,"332.985",188,NA
"1656","BudSuperBowlXLI","vcVYexixsmA",1225251,809324,30,"317.537",8,NA
"4309","gqcaarlo","-dcmDscwEcI",2530461,806383,103,"2.43808",1,NA
"9414","rmfinch95616","Gulv_bvZS94",5459860,803534,150,"2.75819e+023",3,NA
"1309","blamesocietyfilms","Q-1aui-wluE",11679446,803165,296,"315.389",83,NA
"932","BadBoyRecords","XLcPIolG_8E",2506784,801639,62,"322.901",240,NA
"6751","MarcusLindgren","a15KgyXBX24",8314130,795274,233,"285.096",5,NA
"5954","Komkommert","N8jS6jk8QlU",4117945,794780,334,"98.4052",11,NA
"4326","GraveD1gger","YcWXL8jpFGs",8981824,790976,215,"-5.34805e+303",13,NA
"11607","trijeys","KeVwBJpRl4g",8916163,790869,364,"-1.#QNAN",4,NA
"7143","MichaelAir23Jordan","OFxXSXGd4hs",9756162,789121,236,"330.065",1,NA
"10310","smosh","bJXKkxE1Ri0",19290998,788718,467,"329.906",54,NA
"8442","ParisHilton","6Mj776YiPCU",11220528,788289,272,"329.766",29,NA
"186","AdamBuxton","L8McKX8t1BA",6122224,779704,148,"328.949",43,NA
"1271","blackhonda","ovNwmhpbdlg",4245899,779542,117,"9.43226e+114",32,NA
"11280","TheRunnerTrilogy","AWnhTJCvBVU",1125894,774475,26,"334.289",10,NA
"1473","borg359","hNxhrPaaCA4",17401333,770850,424,"-1.04858e+006",10,NA
"11861","unconed","sZ4S-MYoQKQ",3954302,769403,100,"316.306",7,NA
"6311","liracomp","8kOs3J0a2aI",1830531,763903,43,"339.482",7,NA
"10623","stoneGksp","73yDRm8KaWY",13272272,742604,332,"-1.#QNAN",7,NA
"412","allybear","HqZKW1WEVlM",14147871,742045,340,"3.06485e+257",7,NA
"9247","relapserecords","chiVMrWMHko",14163919,741343,345,"327.925",108,NA
"1759","calvinbreezed","pxjZM-d_ShI",8207908,740596,183,"357.578",13,NA
"7132","miaarose","WEl4GhdReRk",345,735430,239,"287.296",31,NA
"9846","sdeelite","ZK0GmiSMNGI",8346520,735238,200,"-1.#QNAN",16,NA
"8225","OkGo","bav63MWNUKg",8506239,731351,206,"-1.#QNAN",20,NA
"2499","cyrusmaleki","9oRQJK61MWs",5098574,731055,121,"-1.56656e+153",7,NA
"587","animes25","V0Y5sTchMYs",1725062,730541,42,"-2.43396e-209",78,NA
"6959","mdotstrange","6qCSahatkbk",5720189,730434,137,"332.4",316,NA
"1657","BudSuperBowlXLI","HxC8zycxa4g",1259131,729749,30,"326.355",8,NA
"8088","nomoremrniceguy","4IwcBADkz3w",8935475,726727,216,"4.79468e-193",7,NA
"6696","maldroid1","FHGvh3i35Uk",8420929,726603,201,"333.494",49,NA
"9173","raypinot","QKXWAE8YYxY",5854412,725870,146,"-5.3475e+303",2,NA
"4034","gamefreak568","92IWqopETfI",7683925,722845,183,"334.385",18,NA
"3489","esparta","9rO9JiLcOd4",7667503,719905,218,"5.04176e-246",36,NA
"4074","gears0fwar","ccWrbGEFgI8",2300526,718733,60,"306.263",2,NA
"2667","DarthVegemite","o8h6yXREbV0",25065552,714961,599,"334.246",39,NA
