"","USER_ID","VIDEO_ID","SIZE","VIEWS.x","LENGTH","BITRATE","UPLOADS","FRIENDS"
"4654","histocat","-ojmbbolStw",22438898,333,599,"-2.00917e+130",198,NA
"7351","mmtarng","aoUwwOZWBqg",24464849,332,592,"330.523",20,NA
"8725","pi314too","AwWx2NRgaD8",22521551,332,536,"335.678",51,NA
"11155","thedailyenglishshow","wA5KRyV3idE",12734589,332,306,"332.523",817,NA
"12268","welcomestranger","fgx1MlFfmnY",14236620,332,387,"293.882",336,NA
"1290","Blade376","fYLvGPvBh_Y",16703821,331,459,"290.604",137,NA
"1702","bushthebigidiot","B3hRvj22RWs",1581478,331,37,"333.696",187,NA
"5534","Joselite2007","yYuP1buRkxg",11429371,331,276,"330.381",219,NA
"9422","robbeck67","td0j12Ofof4",2349246,331,59,"313.433",3,NA
"9346","ricardo266","87zGSubaW6c",21225985,330,512,"331.472",168,NA
"12142","vmc1010","OaSUfp4mr3o",3499263,330,268,"104.39",25,NA
"6874","matthewferguson","AoyEyoPID-M",4900672,329,158,"247.67",59,NA
"8900","posthistoricheretic","Mz7eYRB7vQI",15776042,329,393,"320.942",5,NA
"11329","TheXcorps","N8CiygNeitE",16438274,329,401,"327.294",61,NA
"2317","contrivial","M97WibWfGPc",4324490,328,100,"342.875",55,NA
"10529","srilankanlion","U48jCbWi444",1513012,328,63,"190.608",193,NA
"8523","payperpost","J0nTqvtji2s",10769681,327,266,"323.346",214,NA
"11374","THR4SH3R","LR7SfbJj_FQ",7173643,327,176,"325.748",12,NA
"11735","tylerjones1234","r2droDlmXUQ",8909145,327,131,"540.047",90,NA
"217","AdmiralDuke","Gj1C8_bLxwE",10650060,326,355,"239.083",70,NA
"2560","dangerwilrobinson","hZKJEgynqQI",2161746,326,49,"352.634",39,NA
"5639","Justievel","5U9ebMzBx64",3036289,326,92,"262.293",24,NA
"6024","KtBecfilms","UZKYmupWHoc",9021653,326,217,"332.459",42,NA
"9179","razorruss","PSY54fJ_rIk",8386919,326,198,"337.5",126,NA
"12717","YTGuide","nssxF-qMkR8",18205318,326,438,"332.388",0,NA
"2188","cliffordboese","sF7C_kA_pn8",1186395,324,33,"-5.60176e+078",12,NA
"3881","Frenzee","3BxX9xzneKc",13135239,323,315,"333.451",10,NA
"11330","TheXcorps","bRx1kS3XJTw",14264915,323,348,"327.072",61,NA
"11578","TraprockPeaceCtr","eZTDS0W66x4",41213551,323,994,"331.47",68,NA
"12725","yugiohvan12","kHp-LR3qVr4",4966918,323,120,"330.341",11,NA
"3173","DrRRutledge","yXNz5vLaaf4",17657224,322,429,"329.15",424,NA
"10214","sketchcomedian","nft74ZOmflM",1829630,322,45,"317.49",17,NA
"4140","ghismo","-yMLg3rrW9g",6936844,321,92,"1.29641e-235",40,NA
"4509","HarlemBlues","-RnK5Nwid2U",8889574,321,215,"330.009",32,NA
"4734","HotlineTV","OC_Ml2te6ow",7531255,321,186,"323.457",462,NA
"9884","seeprogress","W0B1MNQ-2JM",3741375,321,150,"198.935",462,NA
"11902","UpDownMostly","BnhN1IiVOGA",1834863,321,130,"112.176",241,NA
"12411","wontdance4u","ePa54j9-GPU",8827600,321,212,"332.063",2,NA
"8876","Pookieftw","SqRryOo-3Co",3003274,320,76,"313.516",138,NA
"9894","seeprogress","F6MG9mEISWE",7702320,320,312,"197.508",462,NA
"8411","pamtv","CW8TCTM3yy0",1049180,319,26,"311.502",22,NA
"10744","SuperGenerous","CaIS9S2dq6o",19301663,319,467,"330.26",7,NA
"3749","fongle","ve-TpLvC9Jw",9561098,318,265,"287.264",7,NA
"8845","PoliticsTelevision","GmQ20KS5Yho",17161812,317,414,"331.566",3,NA
"4338","GregBass","xhgDEuDbwYc",5064607,316,141,"285.054",29,NA
"4522","harypter22","Ascm0xEER7g",7458806,316,177,"335.796",15,NA
"12740","Yuptogun","nO8IMShCB5w",6910812,316,277,"198.948",11,NA
"3681","fiovia","_8vfvaXhNlk",10683091,315,263,"323.032",28,NA
"6723","manoftruth","Clh4ypfLmWE",8223998,315,201,"327.172",37,NA
"7502","mrandmrssmithdesign","4NCZ-Yk52nE",661499,315,16,"323.105",20,NA
"10864","T2Darlantan","6P4DEtq2NHw",15144514,315,596,"203.02",554,NA
"11737","tylerjones1234","zD5lGgqJDsY",10234993,315,273,"299.162",90,NA
"6012","Kristopanos","wCFFGSJV68c",351472,314,9,"293.03",4,NA
"6596","machbar","eZkDikRLQrw",28648755,314,688,"332.741",23,NA
"393","alisonby","sNIOT4NsZ9s",20131990,313,480,"334.952",12,NA
"2809","demonspuppet","epDTSbQWnOo",11012511,313,299,"293.832",26,NA
"4529","HatPerson","w6T_Y1PIsk4",24977048,313,605,"330.126",53,NA
"5087","jack9911","OxcBidRtgC4",11032246,313,278,"316.917",159,NA
"8484","paulfrankindustries","BieEO9oQG4Q",6801847,313,166,"327.105",47,NA
"9883","seeprogress","K-Iw0AxZkho",6690049,313,269,"198.665",462,NA
"1052","beachwalks","CmUB9XGaLjs",11197603,312,273,"326.288",176,NA
"2333","coop0001","1E5TEcNP1Kc",9983902,312,303,"261.81",5,NA
"7858","NeoBen","MOSgvNyopLE",85799014,312,2076,"-2.93501e-303",87,NA
"1186","BigSpoon19","PXDcAm9IZRU",20867401,311,911,"183.117",29,NA
"2718","DavidProductions","ahyYJRpKicw",27059810,311,653,"331.323",15,NA
"3777","ForaTv","FyEMaoDDE0I",14618974,311,358,"326.672",688,NA
"5236","jcr4runner","QiuP6W4COu0",6428207,311,155,"329.929",146,NA
"9878","seeprogress","fNa5g-AhTnc",6831701,311,169,"322.827",462,NA
"215","AdmiralDuke","aBGoqubyj8s",12133576,310,297,"326.228",70,NA
"770","asrinfitnesi","cpDdAuqyUeA",23917857,310,947,"201.9",1038,NA
"7705","MysterEy1","wrdZzip50vo",21348957,310,515,"330.911",543,NA
"46","1972g5","y4RCz5nZz6I",6884963,309,169,"325.691",34,NA
"2555","DandCVideos","eoUR6PUQY20",12567177,309,306,"327.327",222,NA
"7240","mingoi313","Qlu0P2V4XUo",14713025,309,415,"283.106",120,NA
"11941","UWLCRS","NJd07neAcb8",4086329,309,297,"109.644",81,NA
"1016","battim","e2cbngIgmcY",13633143,308,330,"329.866",171,NA
"5108","jackmfunion","lR2qXLzHrw0",925299,308,23,"315.723",57,NA
"11340","TheXcorps","xx4h1TJ5ets",14290761,308,349,"327.339",61,NA
"619","anthony10846","MWMcPhx1uNc",1310533,306,30,"346.669",29,NA
"768","asrinfitnesi","PJcE3B-5CPw",33010920,306,1294,"203.967",1038,NA
"4036","gamelol","28mOpvC0bjw",20727801,306,576,"287.613",47,NA
"1612","Brossy","W9_Z5alQqnE",2557132,305,61,"333.074",52,NA
"3800","FostersMarket","XFH0eQsHjNs",22966106,305,559,"328.378",36,NA
"12235","wayman29","EmS9S7j27m0",11870348,305,463,"204.824",340,NA
"161","abuhmeid","irn7gIQZW9A",3393806,304,77,"352.334",313,NA
"758","AskTheTyrant","W3CY506OKlM",7787733,304,396,"156.909",191,NA
"3731","flowerpunkchip","MFR2OSoJNz0",7972600,304,225,"282.006",58,NA
"6497","Lucas009","kuIR6EgRYJ0",5386192,304,172,"249.834",23,NA
"6785","marketisinsane","oCGhGR_q6t0",6111296,304,140,"348.834",31,NA
"6900","maxcap60","1HEPc3d0J04",6469533,304,157,"327.654",491,NA
"7394","monjancal","vA3C7BGQvXc",8486358,304,202,"334.165",7,NA
"10610","stewf","h21FxuJyA6U",414671,304,11,"1.58594e+162",7,NA
"520","andreasklamm","r_8RPOFJwgE",22970006,303,777,"236.318",351,NA
"12912","zyvek","XffGOe3LPjM",24227506,303,589,"328.466",73,NA
"1011","battim","-PC8Lno12pk",1137604,302,83,"108.834",171,NA
"2823","Denyaofdarkness","pbkJeUwncYw",26578405,302,644,"329.787",0,NA
"4434","Hadukenjeckt","qwBs5T6EHi0",3984961,302,288,"110.332",263,NA
"5129","jakellett","EUUfr51oB6A",22359900,302,545,"327.984",1,NA
"1349","blkbishop112","bKl3px2PH7w",11041645,301,275,"320.375",39,NA
"1469","bootsnfurrugs","ing6XFngMsM",8193687,301,207,"314.763",16,NA
"4655","histocat","zpJCUjyFyNo",21196988,301,599,"-3.67974e-211",198,NA
"7872","NeoConned","5livGi2YkTQ",1034338,301,53,"154.902",75,NA
"4435","Hadukenjeckt","wiBwb71iDx0",6350309,300,418,"121.298",263,NA
"5246","jeanniedean","St6fotiUoO8",10476928,300,256,"326.279",50,NA
"5700","kalin666","SspFqGrrwvc",22003997,300,524,"335.39",213,NA
"9575","rubenmz","wHtY3MDC5WY",1423469,300,34,"6.18121e-272",262,NA
"1619","broxxxs","Wt5ifXzSwFA",2945506,299,67,"1.69952e-135",37,NA
"1794","CaptBugger","g0gO9EZweHg",1733641,299,43,"316.289",37,NA
"5847","kikyosbrother","fX-rARTLO4g",12652035,299,306,"329.291",2,NA
"7915","NewBandTV","tOzFXuuD1Cs",9737314,299,232,"334.364",12,NA
"7250","minorwho","aFcOZEMz0Xg",8252280,298,199,"330.296",14,NA
"9411","rlufrano","QjvbVyzwpX8",5340707,298,128,"331.252",8,NA
"4662","histocat","VJS-ryBTbjM",19715119,297,540,"-8.51434e+103",198,NA
"6262","lildrummer1987","HgztBm3BQwE",18786245,296,452,"332.122",78,NA
"8193","obscenenewg","agZpjrBccWI",69047436,296,1672,"330.091",20,NA
